Runing on: gpu08
Epoch:  0 | training loss: 1.0103 | training accuracy: 0.4301 | val accuracy: 0.3689
Epoch:  0 | training loss: 1.0465 | training accuracy: 0.4337 | val accuracy: 0.6049
Epoch:  1 | training loss: 0.5642 | training accuracy: 0.5747 | val accuracy: 0.5612
Epoch:  1 | training loss: 1.3769 | training accuracy: 0.4358 | val accuracy: 0.4843
Epoch:  2 | training loss: 0.8578 | training accuracy: 0.6033 | val accuracy: 0.5944
Epoch:  2 | training loss: 0.7276 | training accuracy: 0.5190 | val accuracy: 0.5455
Epoch:  3 | training loss: 0.6146 | training accuracy: 0.6463 | val accuracy: 0.6241
Epoch:  3 | training loss: 0.8399 | training accuracy: 0.5896 | val accuracy: 0.5752
Epoch:  4 | training loss: 1.2734 | training accuracy: 0.6462 | val accuracy: 0.5927
Epoch:  4 | training loss: 0.2956 | training accuracy: 0.6814 | val accuracy: 0.6521
Epoch:  5 | training loss: 0.4918 | training accuracy: 0.7137 | val accuracy: 0.6941
Epoch:  5 | training loss: 1.1124 | training accuracy: 0.6738 | val accuracy: 0.6643
Epoch:  6 | training loss: 0.4321 | training accuracy: 0.6977 | val accuracy: 0.7028
Epoch:  6 | training loss: 0.7151 | training accuracy: 0.7430 | val accuracy: 0.7290
Epoch:  7 | training loss: 0.3073 | training accuracy: 0.7591 | val accuracy: 0.7290
Epoch:  7 | training loss: 0.8490 | training accuracy: 0.7430 | val accuracy: 0.7343
Epoch:  8 | training loss: 0.3439 | training accuracy: 0.7542 | val accuracy: 0.7430
Epoch:  8 | training loss: 1.1587 | training accuracy: 0.7636 | val accuracy: 0.7692
Epoch:  9 | training loss: 0.0182 | training accuracy: 0.7665 | val accuracy: 0.7780
Epoch:  9 | training loss: 0.1223 | training accuracy: 0.7799 | val accuracy: 0.7850
Epoch:  10 | training loss: 1.0235 | training accuracy: 0.7741 | val accuracy: 0.7675
Epoch:  10 | training loss: 0.0096 | training accuracy: 0.7818 | val accuracy: 0.7535
Epoch:  11 | training loss: 0.5070 | training accuracy: 0.7925 | val accuracy: 0.7780
Epoch:  11 | training loss: 0.9814 | training accuracy: 0.7867 | val accuracy: 0.7675
Epoch:  12 | training loss: 0.2053 | training accuracy: 0.7866 | val accuracy: 0.7500
Epoch:  12 | training loss: 1.3832 | training accuracy: 0.7905 | val accuracy: 0.7465
Epoch:  13 | training loss: 0.1199 | training accuracy: 0.7970 | val accuracy: 0.6923
Epoch:  13 | training loss: 0.6169 | training accuracy: 0.8004 | val accuracy: 0.8077
Epoch:  14 | training loss: 0.3208 | training accuracy: 0.8054 | val accuracy: 0.7780
Epoch:  14 | training loss: 0.0214 | training accuracy: 0.8015 | val accuracy: 0.7727
Epoch:  15 | training loss: 0.0318 | training accuracy: 0.8038 | val accuracy: 0.7552
Epoch:  15 | training loss: 0.4247 | training accuracy: 0.8107 | val accuracy: 0.8059
Epoch:  16 | training loss: 0.4551 | training accuracy: 0.8127 | val accuracy: 0.7902
Epoch:  16 | training loss: 0.2377 | training accuracy: 0.8130 | val accuracy: 0.7867
Epoch:  17 | training loss: 0.4356 | training accuracy: 0.8099 | val accuracy: 0.7815
Epoch:  17 | training loss: 0.0949 | training accuracy: 0.8185 | val accuracy: 0.7745
Epoch:  18 | training loss: 0.6657 | training accuracy: 0.8170 | val accuracy: 0.7902
Epoch:  18 | training loss: 0.2836 | training accuracy: 0.8131 | val accuracy: 0.7622
Epoch:  19 | training loss: 0.9261 | training accuracy: 0.8221 | val accuracy: 0.7115
Epoch:  19 | training loss: 0.3006 | training accuracy: 0.8247 | val accuracy: 0.8024
Epoch:  20 | training loss: 0.3225 | training accuracy: 0.8179 | val accuracy: 0.7675
Epoch:  20 | training loss: 0.0831 | training accuracy: 0.8228 | val accuracy: 0.8007
Epoch:  21 | training loss: 0.5053 | training accuracy: 0.8341 | val accuracy: 0.7815
Epoch:  21 | training loss: 0.3193 | training accuracy: 0.8288 | val accuracy: 0.8042
Epoch:  22 | training loss: 0.0728 | training accuracy: 0.8263 | val accuracy: 0.8042
Epoch:  22 | training loss: 0.5481 | training accuracy: 0.8286 | val accuracy: 0.8094
Epoch:  23 | training loss: 0.1636 | training accuracy: 0.8384 | val accuracy: 0.8059
Epoch:  23 | training loss: 0.3659 | training accuracy: 0.8332 | val accuracy: 0.7990
Epoch:  24 | training loss: 1.3337 | training accuracy: 0.8286 | val accuracy: 0.7990
Epoch:  24 | training loss: 1.2604 | training accuracy: 0.8344 | val accuracy: 0.8059
Epoch:  25 | training loss: 0.1885 | training accuracy: 0.8308 | val accuracy: 0.8042
Epoch:  25 | training loss: 0.1447 | training accuracy: 0.8378 | val accuracy: 0.8287
Epoch:  26 | training loss: 1.4213 | training accuracy: 0.8396 | val accuracy: 0.8007
Epoch:  26 | training loss: 0.5989 | training accuracy: 0.8422 | val accuracy: 0.8164
Epoch:  27 | training loss: 0.5445 | training accuracy: 0.8439 | val accuracy: 0.8112
Epoch:  27 | training loss: 0.0463 | training accuracy: 0.8336 | val accuracy: 0.8182
Epoch:  28 | training loss: 0.8959 | training accuracy: 0.8513 | val accuracy: 0.8164
Epoch:  28 | training loss: 0.1201 | training accuracy: 0.8443 | val accuracy: 0.8287
Epoch:  29 | training loss: 0.1127 | training accuracy: 0.8451 | val accuracy: 0.7850
Epoch:  29 | training loss: 0.2385 | training accuracy: 0.8403 | val accuracy: 0.7920
Epoch:  30 | training loss: 0.1607 | training accuracy: 0.8472 | val accuracy: 0.8304
Epoch:  30 | training loss: 0.4647 | training accuracy: 0.8462 | val accuracy: 0.8322
Epoch:  31 | training loss: 0.1775 | training accuracy: 0.8488 | val accuracy: 0.8217
Epoch:  31 | training loss: 0.2023 | training accuracy: 0.8507 | val accuracy: 0.8357
Epoch:  32 | training loss: 0.0642 | training accuracy: 0.8540 | val accuracy: 0.8024
Epoch:  32 | training loss: 0.4938 | training accuracy: 0.8553 | val accuracy: 0.7832
Epoch:  33 | training loss: 0.3861 | training accuracy: 0.8508 | val accuracy: 0.7867
Epoch:  33 | training loss: 0.5785 | training accuracy: 0.8525 | val accuracy: 0.8287
Epoch:  34 | training loss: 0.1576 | training accuracy: 0.8534 | val accuracy: 0.8234
Epoch:  34 | training loss: 1.5969 | training accuracy: 0.8463 | val accuracy: 0.8287
Epoch:  35 | training loss: 0.4675 | training accuracy: 0.8529 | val accuracy: 0.8199
Epoch:  35 | training loss: 0.2419 | training accuracy: 0.8488 | val accuracy: 0.8147
Epoch:  36 | training loss: 0.9214 | training accuracy: 0.8564 | val accuracy: 0.8182
Epoch:  36 | training loss: 0.1687 | training accuracy: 0.8481 | val accuracy: 0.8252
Epoch:  37 | training loss: 0.0229 | training accuracy: 0.8604 | val accuracy: 0.8339
Epoch:  37 | training loss: 0.0623 | training accuracy: 0.8549 | val accuracy: 0.8252
Epoch:  38 | training loss: 0.0407 | training accuracy: 0.8597 | val accuracy: 0.8269
Epoch:  38 | training loss: 1.2791 | training accuracy: 0.8589 | val accuracy: 0.8444
Epoch:  39 | training loss: 0.6120 | training accuracy: 0.8571 | val accuracy: 0.8304
Epoch:  39 | training loss: 0.6948 | training accuracy: 0.8583 | val accuracy: 0.8322
Epoch:  40 | training loss: 0.9051 | training accuracy: 0.8601 | val accuracy: 0.8234
Epoch:  40 | training loss: 0.1012 | training accuracy: 0.8608 | val accuracy: 0.8374
Epoch:  41 | training loss: 0.5037 | training accuracy: 0.8620 | val accuracy: 0.8287
Epoch:  41 | training loss: 0.3331 | training accuracy: 0.8652 | val accuracy: 0.8549
Epoch:  42 | training loss: 0.1209 | training accuracy: 0.8601 | val accuracy: 0.8042
Epoch:  42 | training loss: 0.3492 | training accuracy: 0.8623 | val accuracy: 0.8217
Epoch:  43 | training loss: 0.1750 | training accuracy: 0.8598 | val accuracy: 0.8287
Epoch:  43 | training loss: 0.4179 | training accuracy: 0.8640 | val accuracy: 0.8287
Epoch:  44 | training loss: 0.0789 | training accuracy: 0.8663 | val accuracy: 0.8409
Epoch:  44 | training loss: 0.0887 | training accuracy: 0.8670 | val accuracy: 0.8217
Epoch:  45 | training loss: 0.8218 | training accuracy: 0.8644 | val accuracy: 0.8497
Epoch:  45 | training loss: 0.2140 | training accuracy: 0.8685 | val accuracy: 0.8374
Epoch:  46 | training loss: 0.2958 | training accuracy: 0.8667 | val accuracy: 0.8112
Epoch:  46 | training loss: 1.1313 | training accuracy: 0.8670 | val accuracy: 0.8392
Epoch:  47 | training loss: 0.0423 | training accuracy: 0.8695 | val accuracy: 0.8217
Epoch:  47 | training loss: 0.1069 | training accuracy: 0.8729 | val accuracy: 0.8304
Epoch:  48 | training loss: 0.6077 | training accuracy: 0.8670 | val accuracy: 0.8392
Epoch:  48 | training loss: 0.7811 | training accuracy: 0.8699 | val accuracy: 0.8374
Epoch:  49 | training loss: 0.1635 | training accuracy: 0.8707 | val accuracy: 0.8252
Epoch:  49 | training loss: 0.6050 | training accuracy: 0.8689 | val accuracy: 0.7885
Epoch:  50 | training loss: 0.1072 | training accuracy: 0.8716 | val accuracy: 0.8479
Epoch:  50 | training loss: 0.0997 | training accuracy: 0.8721 | val accuracy: 0.8584
Epoch:  51 | training loss: 1.0487 | training accuracy: 0.8753 | val accuracy: 0.8287
Epoch:  51 | training loss: 0.0286 | training accuracy: 0.8789 | val accuracy: 0.8217
Epoch:  52 | training loss: 0.0619 | training accuracy: 0.8764 | val accuracy: 0.8409
Epoch:  52 | training loss: 0.0092 | training accuracy: 0.8781 | val accuracy: 0.8444
Epoch:  53 | training loss: 0.3942 | training accuracy: 0.8732 | val accuracy: 0.8374
Epoch:  53 | training loss: 0.0743 | training accuracy: 0.8749 | val accuracy: 0.8514
Epoch:  54 | training loss: 0.0021 | training accuracy: 0.8814 | val accuracy: 0.8392
Epoch:  54 | training loss: 0.2371 | training accuracy: 0.8706 | val accuracy: 0.8654
Epoch:  55 | training loss: 0.2410 | training accuracy: 0.8784 | val accuracy: 0.8374
Epoch:  55 | training loss: 0.8520 | training accuracy: 0.8745 | val accuracy: 0.8514
Epoch:  56 | training loss: 0.7827 | training accuracy: 0.8784 | val accuracy: 0.8129
Epoch:  56 | training loss: 0.7377 | training accuracy: 0.8775 | val accuracy: 0.8601
Epoch:  57 | training loss: 0.3153 | training accuracy: 0.8792 | val accuracy: 0.8654
Epoch:  57 | training loss: 0.4188 | training accuracy: 0.8743 | val accuracy: 0.8636
Epoch:  58 | training loss: 0.1050 | training accuracy: 0.8776 | val accuracy: 0.8304
Epoch:  58 | training loss: 0.1964 | training accuracy: 0.8792 | val accuracy: 0.8671
Epoch:  59 | training loss: 0.1203 | training accuracy: 0.8796 | val accuracy: 0.8531
Epoch:  59 | training loss: 0.1077 | training accuracy: 0.8779 | val accuracy: 0.8444
Epoch:  60 | training loss: 1.2723 | training accuracy: 0.8773 | val accuracy: 0.8654
Epoch:  60 | training loss: 0.0717 | training accuracy: 0.8826 | val accuracy: 0.8497
